11|132|87|0|0|-1|-1|0|0|&amp;
13|132|87|0|0|-1|-1|0|0|&amp;
15|132|87|0|0|-1|-1|0|0|&amp;
17|132|87|0|0|-1|-1|0|0|&amp;
19|132|87|0|0|-1|-1|0|0|&amp;
21|132|87|0|0|-1|-1|0|0|&amp;
23|132|87|0|0|-1|-1|0|0|&amp;
4|393|36|0|0|-1|-1|0|0|&amp;
40|130|363|0|0|2|2|1|0|&quot;
53|130|443|0|0|2|-1|0|1|&quot;
54|130|447|0|0|-1|-1|0|0|&lt;
56|130|454|0|0|-1|-1|0|0|&gt;
69|130|604|0|0|-1|-1|0|0|&quot;
80|130|684|0|0|-1|-1|0|0|&quot;
83|130|694|0|0|-1|-1|0|0|&lt;
85|130|702|0|0|-1|-1|0|0|&gt;
26|132|251|0|0|-1|-1|0|0|&quot;
33|132|297|0|0|-1|-1|0|0|&quot;
78|132|624|0|0|-1|-1|0|0|&lt;
80|132|631|0|0|-1|-1|0|0|&gt;
89|132|743|0|0|-1|-1|0|0|&lt;
91|132|751|0|0|-1|-1|0|0|&gt;
94|132|767|0|0|-1|-1|0|0|&quot;
97|132|785|0|0|-1|-1|0|0|&quot;
18|138|138|0|0|-1|-1|0|0|&lt;
20|138|145|0|0|-1|-1|0|0|&gt;
25|138|189|0|0|2|2|1|0|&quot;
27|138|236|0|0|2|-1|0|1|&quot;
30|138|247|0|0|-1|-1|0|0|&lt;
32|138|255|0|0|-1|-1|0|0|&gt;
62|138|467|0|0|-1|-1|0|0|&lt;
64|138|474|0|0|-1|-1|0|0|&gt;
69|138|520|0|0|2|2|1|0|&quot;
80|138|658|0|0|2|-1|0|1|&quot;
83|138|669|0|0|-1|-1|0|0|&lt;
85|138|677|0|0|-1|-1|0|0|&gt;
17|141|169|0|0|-1|-1|0|0|&lt;
19|141|176|0|0|-1|-1|0|0|&gt;
36|141|391|0|0|-1|-1|0|0|&lt;
38|141|399|0|0|-1|-1|0|0|&gt;
39|141|403|0|0|-1|-1|0|0|&lt;
41|141|410|0|0|-1|-1|0|0|&gt;
46|141|454|0|0|2|2|1|0|&quot;
53|141|564|0|0|2|-1|0|1|&quot;
58|141|588|0|0|2|2|1|0|&quot;
72|141|723|0|0|2|-1|0|1|&quot;
83|141|781|0|0|-1|-1|0|0|&lt;
85|141|789|0|0|-1|-1|0|0|&gt;
100|141|917|0|0|-1|-1|0|0|&quot;
122|141|1065|0|0|-1|-1|0|0|&quot;
124|141|1071|0|0|-1|-1|0|0|&lt;
126|141|1078|0|0|-1|-1|0|0|&gt;
137|141|1218|0|0|-1|-1|0|0|&lt;
139|141|1226|0|0|-1|-1|0|0|&gt;
30|143|214|0|0|-1|-1|0|0|&quot;
57|143|382|0|0|-1|-1|0|0|&quot;
58|143|386|0|0|-1|-1|0|0|&lt;
60|143|393|0|0|-1|-1|0|0|&gt;
65|143|439|0|0|2|2|1|0|&quot;
68|143|467|0|0|2|-1|0|1|&quot;
93|143|620|0|0|-1|-1|0|0|&lt;
95|143|628|0|0|-1|-1|0|0|&gt;
100|143|679|0|0|-1|-1|0|0|&quot;
103|143|699|0|0|-1|-1|0|0|&quot;
126|143|847|0|0|-1|-1|0|0|&lt;
128|143|854|0|0|-1|-1|0|0|&gt;
137|143|959|0|0|-1|-1|0|0|&lt;
139|143|967|0|0|-1|-1|0|0|&gt;
53|145|432|0|0|-1|-1|0|0|&lt;
55|145|439|0|0|-1|-1|0|0|&gt;
65|145|553|0|0|-1|-1|0|0|&lt;
67|145|561|0|0|-1|-1|0|0|&gt;
85|145|687|0|0|-1|-1|0|0|&quot;
94|145|738|0|0|-1|-1|0|0|&quot;
43|147|369|0|0|-1|-1|0|0|&quot;
48|147|410|0|0|-1|-1|0|0|&quot;
16|153|131|0|0|-1|-1|0|0|&quot;
18|153|146|0|0|-1|-1|0|0|&quot;
